Taxon,Gene,accnum
Felis catus,RAG2,DQ082330
Felis silvestris,RAG2,DQ082331
Felis libyca,RAG2,DQ082332
Felis bieti,RAG2,DQ082333
Felis margarita,RAG2,DQ082334
Felis chaus,RAG2,DQ082335
Felis nigripes,RAG2,DQ082336
Otocolobus manul,RAG2,DQ082337
Prionailurus rubiginosa,RAG2,DQ082338
Prionailurus bengalensis,RAG2,DQ082339
Prionailurus viverrinus,RAG2,DQ082340
Prionailurus planiceps,RAG2,DQ082341
Puma concolor,RAG2,DQ082342
Herpailurus yaguarondi,RAG2,DQ082343
Acinonyx jubatus,RAG2,DQ082344
Lynx pardinus,RAG2,DQ082345
Lynx lynx,RAG2,DQ082346
Lynx canadensis,RAG2,DQ082347
Lynx rufus,RAG2,DQ082348
Caracal caracal,RAG2,DQ082349
Profelis aurata,RAG2,DQ082350
Leptailurus serval,RAG2,DQ082351
Leopardus pardalis,RAG2,DQ082352
Leopardus wiedii,RAG2,DQ082353
Oreailurus jacobita,RAG2,DQ082354
Oncifelis geoffroyi,RAG2,DQ082355
Oncifelis guigna,RAG2,DQ082356
Oncifelis colocolo,RAG2,DQ082357
Leopardus tigrinus,RAG2,DQ082358
Catopuma badia,RAG2,DQ082359
Catopuma temminckii,RAG2,DQ082360
Pardofelis marmorata,RAG2,DQ082361
Panthera leo,RAG2,DQ082362
Panthera pardus,RAG2,DQ082363
Panthera tigris,RAG2,DQ082364
Panthera onca,RAG2,DQ082365
Uncia uncia,RAG2,DQ082366
Neofelis nebulosa,RAG2,DQ082367
Prionodon linsang,RAG2,DQ082368
Crocuta crocuta,RAG2,DQ082369
Helogale parvula,RAG2,DQ082370
Suricata suricatta,RAG2,DQ082371
Paradoxurus hermaphroditus,RAG2,DQ082372
Genetta genetta,RAG2,DQ082373
Cryptoprocta ferox,RAG2,DQ082374
Felis catus,TTR,DQ082505
Felis silvestris,TTR,DQ082506
Felis libyca,TTR,DQ082507
Felis bieti,TTR,DQ082508
Felis chaus,TTR,DQ082509
Felis nigripes,TTR,DQ082510
Otocolobus manul,TTR,DQ082511
Prionailurus rubiginosa,TTR,DQ082512
Prionailurus bengalensis,TTR,DQ082513
Prionailurus viverrinus,TTR,DQ082514
Prionailurus planiceps,TTR,DQ082515
Herpailurus yaguarondi,TTR,DQ082516
Acinonyx jubatus,TTR,DQ082517
Lynx pardinus,TTR,DQ082518
Lynx lynx,TTR,DQ082519
Lynx canadensis,TTR,DQ082520
Caracal caracal,TTR,DQ082521
Profelis aurata,TTR,DQ082522
Leptailurus serval,TTR,DQ082523
Leopardus pardalis,TTR,DQ082524
Leopardus wiedii,TTR,DQ082525
Oreailurus jacobita,TTR,DQ082526
Oncifelis geoffroyi,TTR,DQ082527
Oncifelis guigna,TTR,DQ082528
Oncifelis colocolo,TTR,DQ082529
Leopardus tigrinus,TTR,DQ082530
Catopuma badia,TTR,DQ082531
Catopuma temminckii,TTR,DQ082532
Pardofelis marmorata,TTR,DQ082533
Panthera leo,TTR,DQ082534
Panthera pardus,TTR,DQ082535
Panthera tigris,TTR,DQ082536
Panthera onca,TTR,DQ082537
Uncia uncia,TTR,DQ082538
Neofelis nebulosa,TTR,DQ082539
Crocuta crocuta,TTR,DQ082540
Helogale parvula,TTR,DQ082541
Suricata suricatta,TTR,DQ082542
Paradoxurus hermaphroditus,TTR,DQ082543
Genetta genetta,TTR,DQ082544
Cryptoprocta ferox,TTR,DQ082545
