accession,species
XP_001703004,Chlamydomonas reinhardtii
KXZ47408,Gonium pectorale
XP_002948047,Volvox carteri f. nagariensis
ASM79489.1,Chlorella variabilis
XP_005642926,Coccomyxa subellipsoidea
XP_005757666,Emiliania huxleyi CCMP1516
KOO25289,Chrysochromulina tobinii
XP_005785285,Emiliania huxleyi CCMP1516
XP_002178042,Phaeodactylum tricornutum CCAP 1055/1
XP_005714951,Chondrus crispus
XP_005537774,Cyanidioschyzon merolae strain 10D
XP_009037277,Aureococcus anophagefferens
